Titulo,Nombre del Canal,Subcriptores,Vistas Totales,Numero de Comentarios,Direccion,Ratio,video_id
ðŸ¤¯ The craziest strategy secures gold!ðŸ¥‡| Women&#39;s Short Track Speed Skating 1500m Final | #Gangwon2024,Olympics,14300000,2356298,1323,https://www.youtube.com/watch?v=Qgl1GITk0Js,3.642020997883598e+17,Qgl1GITk0Js
Commodities Outlook - The Secrets to Trading Gold - Bloomberg,Bloomberg Originals,4210000,60855,37,https://www.youtube.com/watch?v=TcVgq0doQS4,2.9151354202702704e+16,TcVgq0doQS4
The Only Gold Hedging Strategy youâ€™ll ever need! ðŸ˜‚ðŸ˜‚ || Anish Singh Thakur || Booming Bulls #shorts,Booming Bulls,2310000,3073346,934,https://www.youtube.com/watch?v=QINEFblpd-Y,1.7558545600214134e+16,QINEFblpd-Y
This SIMPLE Trading Strategy Has A 88.89% Winning Rate,Rayner Teo,1980000,1745361,1605,https://www.youtube.com/watch?v=W8ENIXvcGlQ,4263248139813084.0,W8ENIXvcGlQ
How To Predict Reversals,TradingLab,1260000,4593397,1819,https://www.youtube.com/watch?v=2A2CqCmDbl0,4009058316217702.5,2A2CqCmDbl0
I Found A Trading Strategy With a 225% Profit Rate #shorts,TradingLab,1260000,1419315,584,https://www.youtube.com/watch?v=O2-oSMyzTzs,3858398106164383.0,O2-oSMyzTzs
I Tested This Trading Strategy &amp; It Made 310%,TradingLab,1260000,1359456,736,https://www.youtube.com/watch?v=vQeyR1LMB7c,2932435252173913.0,vQeyR1LMB7c
Advanced Gold Trading Psychology 2024,Booming Bulls,2310000,107713,219,https://www.youtube.com/watch?v=XY6cSGJTiyo,2624508398630137.0,XY6cSGJTiyo
I Found An AMAZING Trend Following Strategy #shorts,TradingLab,1260000,1037613,675,https://www.youtube.com/watch?v=YV-gwsg2Ekc,2440465776000000.0,YV-gwsg2Ekc
1 Minute Scalping Strategy - SO SIMPLE that anybody can do it!,The Moving Average,958000,328044,124,https://www.youtube.com/watch?v=Du81XPkPOHQ,2427959464645161.0,Du81XPkPOHQ
XAUUSD Scalping Strategy,The Moving Average,958000,1294910,558,https://www.youtube.com/watch?v=oDOCBTYgCQM,2129788138422939.5,oDOCBTYgCQM
Millionaire trader gives away his secret trading strategy,Humbled Trader,1270000,1112517,853,https://www.youtube.com/watch?v=PBQW98QIqDQ,2103609225439624.8,PBQW98QIqDQ
15 Best Price Action Strategies After 15 Years of Trading (The Holy Grail),Wysetrade,1330000,1497824,1350,https://www.youtube.com/watch?v=FBdN2L8SSyY,1962593239703703.5,FBdN2L8SSyY
Four Price Action Secrets (The Ultimate Guide To Price Action),TradingLab,1260000,1087622,896,https://www.youtube.com/watch?v=0L6Rcgp6j7Y,1927130231250000.0,0L6Rcgp6j7Y
How I Scalp Gold in 2022,The Trading Geek,990000,340363,231,https://www.youtube.com/watch?v=lMMdvriN0d8,1444111585714285.8,lMMdvriN0d8
BEST MACD Trading Strategy [86% Win Rate],TradingLab,1260000,2636180,3612,https://www.youtube.com/watch?v=rf_EQvubKlk,1158693069767442.0,rf_EQvubKlk
How To Grow A Small Stock Account,TradingLab,1260000,828324,1191,https://www.youtube.com/watch?v=5nPRbWwxPUQ,1104153805541561.8,5nPRbWwxPUQ
"How I Made $1,400,000 in 2022 with Trading",Umar Ashraf,775000,1258320,735,https://www.youtube.com/watch?v=dwEdZ0kJazQ,1028270000000000.0,dwEdZ0kJazQ
5 Minute Scalping Strategy **HIGHEST WIN RATE**,The Moving Average,958000,2510152,2243,https://www.youtube.com/watch?v=wbfXaqjIrJ0,1027074070498439.6,wbfXaqjIrJ0
This GOLD Trading Strategy makes me $1000 a day,The Trading Geek,990000,753962,767,https://www.youtube.com/watch?v=AY7fWmE1CBk,963439577835723.6,AY7fWmE1CBk
"BEST Scalping Trading Strategy For Beginners (How To Scalp Forex, Stocks, and Crypto)",TradingLab,1260000,624126,1104,https://www.youtube.com/watch?v=XBcMiYK7qYY,897520323913043.4,XBcMiYK7qYY
"Scalping was Hard, until I Found this SECRET",The Trading Geek,990000,1183194,1293,https://www.youtube.com/watch?v=fEQadvrrXl4,896866542459396.8,fEQadvrrXl4
Small Forex Account Traders NEED To Know This One Thing #shorts,"Chris ""Swaggy C"" Williams",566000,1400973,534,https://www.youtube.com/watch?v=J-JMqtBz2EQ,840468364022472.0,J-JMqtBz2EQ
This Scalping Strategy will Grow SMALL Forex Accounts *PRICE ACTION*,The Trading Geek,990000,1068949,1376,https://www.youtube.com/watch?v=8LQsR7B2vQ0,761393106758720.9,8LQsR7B2vQ0
I Decoded The Take Profit Algorithm In Trading (Best EXIT Strategies),The Secret Mindset,857000,68328,100,https://www.youtube.com/watch?v=n9p2F4Uo6tk,501834312720000.0,n9p2F4Uo6tk
NEW TRADER PSYCHOLOGY  #tradingview | Stock | Market | crypto | Trading | #shorts,BEGINNER TRADER HELPER,377000,3435616,1086,https://www.youtube.com/watch?v=0F2204ehuP0,449632289561694.3,0F2204ehuP0
100% Win Rate Strategy,The Moving Average,958000,212137,463,https://www.youtube.com/watch?v=fX6CqA_1B4o,420500435568034.56,fX6CqA_1B4o
ðŸ”´ Gold Trading Strategy: How to Manage Risk (w/ George Milling-Stanley),Real Vision,710000,26492,35,https://www.youtube.com/watch?v=__VNDNJ08rU,381560491428571.4,__VNDNJ08rU
The Billion Dollar Trading Strategy,TRADING RUSH,338000,335419,120,https://www.youtube.com/watch?v=e3-dmG6EW5Y,319330068633333.3,e3-dmG6EW5Y
This indicator will help you predict market moves in Tradingview #shorts #forex #forextrading,Easy Forex Pips,229000,872100,147,https://www.youtube.com/watch?v=uT0oXwT1ttg,311114259183673.5,uT0oXwT1ttg
